feature,soh_correlation,abs_correlation
charge_time_to_full_rolling_mean_10,0.9839595915415285,0.9839595915415285
voltage_spread_under_load_rolling_mean_10,-0.9836989249487208,0.9836989249487208
proxy_IR_mean_rolling_mean_10,-0.9809930974091156,0.9809930974091156
voltage_asymmetry_under_load_rolling_mean_10,-0.9803163258183919,0.9803163258183919
charge_time_to_full_rolling_mean_5,0.9799610516640099,0.9799610516640099
voltage_spread_under_load_rolling_mean_5,-0.9796494467442641,0.9796494467442641
voltage_spread_mean_rolling_mean_10,-0.9796064708482646,0.9796064708482646
voltage_spread_under_load_rolling_mean_3,-0.979366719130254,0.979366719130254
charge_time_to_full_rolling_mean_3,0.9792834189840846,0.9792834189840846
voltage_spread_under_load,-0.9788349336466137,0.9788349336466137
voltage_spread_max_rolling_mean_10,-0.978398054003813,0.978398054003813
charge_time_to_full,0.9772672169811523,0.9772672169811523
proxy_IR_mean,-0.9771882392471449,0.9771882392471449
proxy_IR_median,-0.9771393901925911,0.9771393901925911
proxy_IR_mean_rolling_mean_5,-0.9766048127600566,0.9766048127600566
Cell_V_Avg_range_rolling_mean_10,-0.976599460326948,0.976599460326948
proxy_IR_mean_rolling_mean_3,-0.9761310136630422,0.9761310136630422
voltage_asymmetry_under_load_rolling_mean_5,-0.975544975962346,0.975544975962346
voltage_asymmetry_under_load_rolling_mean_3,-0.9754420322482031,0.9754420322482031
charge_time_to_95,0.9743293363832737,0.9743293363832737
voltage_asymmetry_under_load,-0.9737720251923111,0.9737720251923111
voltage_spread_mean_rolling_mean_5,-0.9729952898590682,0.9729952898590682
voltage_spread_max_rolling_mean_5,-0.9725324584560513,0.9725324584560513
active_duration,0.9706093422964501,0.9706093422964501
voltage_spread_max_rolling_mean_3,-0.9682200514486267,0.9682200514486267
charge_time_to_80,0.9645255968990464,0.9645255968990464
Cell_V_Avg_range_rolling_mean_5,-0.9638379154891198,0.9638379154891198
voltage_spread_mean_rolling_mean_3,-0.9613534945269643,0.9613534945269643
voltage_asymmetry_mean_rolling_mean_10,-0.9603052924361164,0.9603052924361164
Cell_V_Avg_range_rolling_mean_3,-0.9554290807789204,0.9554290807789204
voltage_spread_max,-0.9547665644991957,0.9547665644991957
Cell_T_Min_std,-0.9547592675485326,0.9547592675485326
Cell_T_Avg_std,-0.9547527661982278,0.9547527661982278
voltage_asymmetry_mean_rolling_mean_5,-0.9435063024554458,0.9435063024554458
Cell_T_Max_std,-0.9419620740114598,0.9419620740114598
charge_time_to_50,0.9237055058255043,0.9237055058255043
Cell_T_Avg_max,-0.9203275063236788,0.9203275063236788
energy_efficiency_rolling_mean_10,0.9190299714982783,0.9190299714982783
discharge_duration_rolling_mean_10,0.918852253876563,0.918852253876563
Cell_T_Min_max,-0.9118052365096306,0.9118052365096306
energy_efficiency,0.9111953442289091,0.9111953442289091
voltage_asymmetry_mean_rolling_mean_3,-0.9098028479143834,0.9098028479143834
Cell_V_Max_max,-0.9086199432083325,0.9086199432083325
energy_efficiency_rolling_mean_5,0.904069459426232,0.904069459426232
Cell_V_Avg_max,-0.9027735756853678,0.9027735756853678
Cell_V_Max_range,-0.9020891792388112,0.9020891792388112
energy_efficiency_rolling_mean_3,0.9013688003603932,0.9013688003603932
Cell_V_Avg_range,-0.9003436328676709,0.9003436328676709
Cell_V_Min_range,-0.8992769240081335,0.8992769240081335
Cell_V_Min_min,0.8958024811101907,0.8958024811101907
Cell_V_Max_min,0.8939620293151607,0.8939620293151607
Cell_T_Max_max,-0.8936191260645802,0.8936191260645802
discharge_duration_rolling_mean_5,0.8932803341391754,0.8932803341391754
Cell_V_Avg_min,0.8916126220031354,0.8916126220031354
Cell_T_Avg_range,-0.8810807374055101,0.8810807374055101
Cell_T_Min_range,-0.8651851372019841,0.8651851372019841
Cell_T_Max_range,-0.8495261503573933,0.8495261503573933
voltage_spread_mean,-0.8438923456734797,0.8438923456734797
voltage_spread_std,-0.8419925626877273,0.8419925626877273
Cell_V_Min_max,-0.8383314969554219,0.8383314969554219
SOC_range_rolling_std_10,-0.8370414836885501,0.8370414836885501
Cell_T_Max_mean,-0.827508176078175,0.827508176078175
SOC_range_rolling_mean_10,-0.817825392705274,0.817825392705274
Cell_T_Avg_mean,-0.8154376084321868,0.8154376084321868
Cell_T_Min_mean,-0.7862581270330262,0.7862581270330262
proxy_IR_mean_rolling_std_10,0.77456975033814,0.77456975033814
discharge_duration_rolling_mean_3,0.7695290424585444,0.7695290424585444
voltage_spread_under_load_rolling_std_10,0.7458327171032976,0.7458327171032976
