cycle,charge_time_to_full_rolling_mean_10,voltage_spread_under_load_rolling_mean_10,proxy_IR_mean_rolling_mean_10,voltage_asymmetry_under_load_rolling_mean_10,charge_time_to_full_rolling_mean_5,voltage_spread_under_load_rolling_mean_5,voltage_spread_mean_rolling_mean_10,voltage_spread_under_load_rolling_mean_3,charge_time_to_full_rolling_mean_3,voltage_spread_under_load,voltage_spread_max_rolling_mean_10,charge_time_to_full,proxy_IR_mean,proxy_IR_median,proxy_IR_mean_rolling_mean_5,Cell_V_Avg_range_rolling_mean_10,proxy_IR_mean_rolling_mean_3,voltage_asymmetry_under_load_rolling_mean_5,voltage_asymmetry_under_load_rolling_mean_3,charge_time_to_95,voltage_asymmetry_under_load,voltage_spread_mean_rolling_mean_5,voltage_spread_max_rolling_mean_5,active_duration,voltage_spread_max_rolling_mean_3,charge_time_to_80,Cell_V_Avg_range_rolling_mean_5,voltage_spread_mean_rolling_mean_3,voltage_asymmetry_mean_rolling_mean_10,Cell_V_Avg_range_rolling_mean_3,soh_label
1,6119.0,0.005336263204580279,0.0011908313468898468,0.23573417251185377,6119.0,0.005336263204580279,0.005257458009526207,0.005336263204580279,6119.0,0.005336263204580279,0.015000000000000124,6119.0,0.0011908313468898468,0.0011867088607595037,0.0011908313468898468,0.8060000000000005,0.0011908313468898468,0.23573417251185377,0.23573417251185377,4578.0,0.23573417251185377,0.005257458009526207,0.015000000000000124,24802,0.015000000000000124,3206.0,0.8060000000000005,0.005257458009526207,0.23598043917447295,0.8060000000000005,100.0
2,6093.0,0.005411333833352765,0.0012249957912364609,0.2385344288091767,6093.0,0.005411333833352765,0.004982332676830487,0.005411333833352765,6093.0,0.0054864044621252515,0.015000000000000124,6067.0,0.0012591602355830752,0.0012522361359570472,0.0012249957912364609,0.7990000000000004,0.0012249957912364609,0.2385344288091767,0.2385344288091767,4545.0,0.24133468510649964,0.004982332676830487,0.015000000000000124,24383,0.015000000000000124,3186.0,0.7990000000000004,0.004982332676830487,0.22332371996195238,0.7990000000000004,100.0
3,6069.0,0.005452059244050548,0.0012511715168741,0.23947968205329906,6069.0,0.005452059244050548,0.005032839760361343,0.005452059244050548,6069.0,0.005533510065446114,0.015000000000000124,6021.0,0.0013035229681493783,0.001297648012976481,0.0012511715168741,0.8026666666666671,0.0012511715168741,0.23947968205329906,0.23947968205329906,4512.0,0.2413701885415438,0.005032839760361343,0.015000000000000124,24142,0.015000000000000124,3163.0,0.8026666666666671,0.005032839760361343,0.22442095513956373,0.8026666666666671,99.0
4,6052.25,0.005502908659522542,0.0012725790991747997,0.24075897129837479,6052.25,0.005502908659522542,0.005230368639149196,0.005558457144503297,6030.0,0.005655456905938525,0.015250000000000097,6002.0,0.0013368018460768983,0.0013333333333334035,0.0012725790991747997,0.8027500000000004,0.0012998283499364505,0.24075897129837479,0.2424339042272151,4503.0,0.24459683903360196,0.005230368639149196,0.015250000000000097,23878,0.015333333333333421,3164.0,0.8027500000000004,0.005221338849023527,0.23157547112930021,0.8016666666666671,99.0
5,6033.0,0.005545744017191826,0.0012919616147602946,0.24215484716087682,6033.0,0.005545744017191826,0.005323164082779411,0.005635350806417867,5993.0,0.005717085447868962,0.01540000000000008,5956.0,0.0013694916771022753,0.001365853658536565,0.0012919616147602946,0.8054000000000003,0.0013366054971095172,0.24215484716087682,0.24456845939534355,4466.0,0.2477383506108849,0.005323164082779411,0.01540000000000008,24237,0.015666666666666718,3134.0,0.8054000000000003,0.005550385020078693,0.2342526377130018,0.8096666666666671,99.0
6,6015.5,0.005584067454367345,0.0013093894090976468,0.24319229544011403,5994.8,0.005633628304324759,0.005309089959140746,0.005716075664684142,5962.0,0.005775684640244941,0.01550000000000007,5928.0,0.0013965283807844083,0.0013888888888888592,0.0013331010215392072,0.8071666666666669,0.0013676073013211942,0.24468392002576608,0.24690490882692903,4447.0,0.24837953683630015,0.005319416349063655,0.015600000000000058,23516,0.016000000000000014,3122.0,0.8074000000000003,0.00558534015792015,0.23196479383978705,0.811666666666667,99.0
7,5999.142857142857,0.005618529196094909,0.0013247537416689193,0.24404883654448178,5961.6,0.005701407341191768,0.005350012755255562,0.0057726899115247325,5928.333333333333,0.005825299646460295,0.015571428571428634,5901.0,0.0014169397370965534,0.0014075067024128922,0.0013646569218419026,0.8087142857142862,0.001394319931661079,0.2462545996386038,0.2484353235392911,4428.0,0.24918808317068827,0.005497084786625594,0.015800000000000036,23194,0.016000000000000014,3109.0,0.8126000000000004,0.005509538243397386,0.23624390457477862,0.816666666666667,98.0
8,5984.0,0.005648084757393157,0.001338902717139916,0.24487221572866483,5933.0,0.005765700065398722,0.005403508753800633,0.00581865265772871,5902.333333333333,0.0058549736864808915,0.015625000000000056,5878.0,0.001437945545436892,0.0014292094685127302,0.0013915414372994055,0.8095000000000003,0.001417137887772618,0.2481077359338843,0.24940116334164486,4413.0,0.2506358700179461,0.005625910149864206,0.016000000000000014,23182,0.016000000000000014,3100.0,0.8136000000000003,0.005537416538836003,0.23851697625147694,0.8163333333333337,98.0
9,5969.666666666667,0.005673308954817701,0.0013523896358034488,0.24555278928073518,5903.6,0.0058096291910538275,0.005409513336887203,0.005851791955718412,5878.0,0.005875102534214047,0.015777777777777818,5855.0,0.0014602849851117114,0.001454313771937876,0.001416238065106368,0.8103333333333337,0.0014383900892150523,0.24938784366662353,0.2502737769619775,4397.0,0.25099737769729813,0.005552829095077609,0.016199999999999992,23163,0.01633333333333331,3090.0,0.8164000000000003,0.005610360092380116,0.24051964773943924,0.816666666666667,98.0
10,5956.0,0.005697159359024835,0.001365379007774941,0.24615619803129554,5879.0,0.0058485747008578445,0.00540624105458188,0.005880629739194661,5855.333333333333,0.005911812996889044,0.01590000000000007,5833.0,0.0014822833555183704,0.0014763417563085262,0.001438796400789587,0.8113000000000004,0.001460171295355658,0.2501575489017143,0.251073374833861,4381.0,0.25158687678633873,0.005489318026384349,0.01640000000000006,23144,0.016666666666666757,3079.0,0.8172000000000004,0.005537440419676618,0.2394890299411392,0.8173333333333336,98.0
