Model,MAE,RMSE,R2
ExtraTrees_Top30_Baseline,0.0637,0.0789,0.999793
ExtraTrees_Top30_Tuned,0.0639,0.0752,0.999811
XGBoost_Top30_Baseline,0.0828,0.1057,0.999628
XGBoost_Top30_Tuned,0.0850,0.1101,0.999596
Random_Forest_Top30_Tuned,0.1063,0.1305,0.999432
ExtraTrees_Baseline,0.1112,0.1526,0.999224
Random_Forest_Tuned,0.1171,0.1585,0.999162
ExtraTrees_Tuned,0.1211,0.1580,0.999167
Random_Forest_Baseline,0.1246,0.1699,0.999037
Random_Forest_Top30_Baseline,0.1274,0.1540,0.999210
GradientBoosting_Tuned,0.1559,0.1951,0.998731
GradientBoosting_Top30_Baseline,0.1627,0.1890,0.998809
CatBoost_Top30_Baseline,0.1700,0.2233,0.998338
GradientBoosting_Baseline,0.1744,0.2351,0.998157
CatBoost_Top30_Tuned,0.1790,0.2464,0.997977
GradientBoosting_Top30_Tuned,0.1797,0.2406,0.998071
CatBoost_Tuned,0.2618,0.3473,0.995980
XGBoost_Baseline,0.3448,0.5174,0.991078
XGBoost_Tuned,0.4097,0.5291,0.990669
CatBoost_Baseline,0.5067,0.6730,0.984901
LightGBM_Tuned,0.6958,0.9058,0.972653
LightGBM_Baseline,0.7587,0.9243,0.971525
LightGBM_Top30_Baseline,0.9820,1.2294,0.949617
LightGBM_Top30_Tuned,1.0813,1.3145,0.942403
