cycle,active_hours,rest_hours,total_hours,soh
1,6.889444444444444,0.8666666666666667,7.756111111111111,100.0
2,6.773055555555556,2.3647222222222224,9.137777777777778,100.0
3,6.706111111111111,2.3644444444444446,9.070555555555556,99.0
4,6.632777777777778,2.3602777777777777,8.993055555555555,99.0
5,6.7325,2.346111111111111,9.078611111111112,99.0
6,6.532222222222222,2.3691666666666666,8.901388888888889,99.0
7,6.442777777777778,2.37,8.812777777777777,98.0
8,6.439444444444445,0.8594444444444445,7.2988888888888885,98.0
9,6.434166666666667,2.3569444444444443,8.79111111111111,98.0
10,6.428888888888889,2.3555555555555556,8.784444444444444,98.0
11,6.4191666666666665,2.359166666666667,8.778333333333334,97.0
12,6.405277777777778,2.3675,8.772777777777778,97.0
13,6.344722222222222,2.35,8.694722222222222,97.0
14,6.3875,2.0680555555555555,8.455555555555556,97.0
15,6.309722222222222,0.8302777777777778,7.14,96.0
16,6.338333333333333,2.3297222222222222,8.668055555555556,96.0
17,6.380277777777778,2.338888888888889,8.719166666666666,96.0
18,6.3133333333333335,2.34,8.653333333333334,96.0
19,6.2825,2.3419444444444446,8.624444444444444,95.0
20,6.215277777777778,0.8319444444444445,7.0472222222222225,95.0
21,6.297777777777778,2.338611111111111,8.636388888888888,95.0
22,6.243333333333333,2.325833333333333,8.569166666666666,95.0
23,6.206944444444445,2.367777777777778,8.574722222222222,94.0
24,6.1975,2.3180555555555555,8.515555555555556,94.0
25,6.133055555555556,2.3380555555555556,8.471111111111112,94.0
26,6.194444444444445,0.8327777777777777,7.027222222222222,94.0
27,6.1402777777777775,2.323611111111111,8.463888888888889,93.0
28,6.110277777777778,2.3325,8.442777777777778,93.0
29,6.118611111111111,2.339722222222222,8.458333333333334,93.0
30,6.083333333333333,2.34,8.423333333333334,92.0
31,6.020833333333333,0.8269444444444445,6.847777777777778,92.0
32,6.131111111111111,2.3080555555555557,8.439166666666667,92.0
33,6.021944444444444,2.357222222222222,8.379166666666666,92.0
34,6.1002777777777775,2.317222222222222,8.4175,92.0
35,5.979444444444445,2.3369444444444443,8.31638888888889,91.0
36,5.957777777777777,0.8269444444444445,6.784722222222222,91.0
37,6.029444444444445,2.299722222222222,8.329166666666667,91.0
38,6.051666666666667,2.33,8.381666666666666,91.0
39,5.904444444444445,2.3705555555555557,8.275,90.0
40,5.923055555555556,2.3130555555555556,8.23611111111111,90.0
41,6.050833333333333,0.8102777777777778,6.861111111111111,90.0
42,5.928333333333334,2.321388888888889,8.249722222222223,90.0
43,5.8372222222222225,2.3255555555555554,8.162777777777778,89.0
44,5.875555555555556,2.3697222222222223,8.245277777777778,89.0
45,5.871944444444445,2.269722222222222,8.141666666666667,89.0
46,5.8502777777777775,0.7972222222222223,6.6475,88.0
47,5.913333333333333,2.3008333333333333,8.214166666666667,88.0
48,5.968333333333334,2.3141666666666665,8.2825,88.0
49,5.8725,2.3155555555555556,8.188055555555556,88.0
50,5.822222222222222,0.8036111111111112,6.6258333333333335,87.0
51,5.851666666666667,2.3230555555555554,8.174722222222222,87.0
52,5.823055555555555,2.3269444444444445,8.15,87.0
53,5.777777777777778,2.3405555555555555,8.118333333333334,87.0
54,5.764166666666667,0.8272222222222222,6.591388888888889,86.0
55,5.791388888888889,2.321388888888889,8.112777777777778,86.0
56,5.797777777777778,2.326388888888889,8.124166666666667,86.0
57,5.722777777777778,2.3094444444444444,8.032222222222222,86.0
58,5.764444444444444,2.0405555555555557,7.805,85.0
59,5.691666666666666,0.7952777777777778,6.486944444444444,85.0
60,5.763055555555556,2.3230555555555554,8.08611111111111,85.0
61,5.709444444444444,2.312222222222222,8.021666666666667,85.0
62,5.725555555555555,2.068888888888889,7.794444444444444,84.0
63,5.6775,0.7955555555555556,6.473055555555556,84.0
64,5.708888888888889,2.296388888888889,8.005277777777778,84.0
65,5.729722222222223,2.3125,8.042222222222222,84.0
66,5.678888888888889,2.149722222222222,7.828611111111111,83.0
67,5.665277777777778,0.7963888888888889,6.461666666666667,83.0
68,5.686111111111111,2.3005555555555555,7.986666666666666,83.0
69,5.6594444444444445,2.3097222222222222,7.969166666666666,83.0
70,5.6386111111111115,2.2530555555555556,7.891666666666667,82.0
71,5.655277777777778,0.7944444444444444,6.449722222222222,82.0
72,5.673333333333333,2.298611111111111,7.9719444444444445,82.0
73,5.623888888888889,2.3105555555555557,7.934444444444445,82.0
74,5.5775,2.335277777777778,7.9127777777777775,81.0
75,5.59,0.7711111111111111,6.361111111111111,81.0
76,5.613333333333333,2.2969444444444442,7.910277777777778,81.0
77,5.556388888888889,2.3444444444444446,7.900833333333333,81.0
78,5.576388888888889,0.7825,6.358888888888889,80.0
79,5.533888888888889,2.292222222222222,7.8261111111111115,80.0
80,1.3297222222222222,0.10472222222222222,1.4344444444444444,80.0
