cycle,Current_min,Current_max,Current_mean,Current_std,Current_range,Current_discharge_end,Current_charge_start,Cell_V_Max_min,Cell_V_Max_max,Cell_V_Max_mean,Cell_V_Max_std,Cell_V_Max_range,Cell_V_Max_discharge_end,Cell_V_Max_charge_start,Cell_V_Min_min,Cell_V_Min_max,Cell_V_Min_mean,Cell_V_Min_std,Cell_V_Min_range,Cell_V_Min_discharge_end,Cell_V_Min_charge_start,Cell_V_Avg_min,Cell_V_Avg_max,Cell_V_Avg_mean,Cell_V_Avg_std,Cell_V_Avg_range,Cell_V_Avg_discharge_end,Cell_V_Avg_charge_start,Cell_T_Max_min,Cell_T_Max_max,Cell_T_Max_mean,Cell_T_Max_std,Cell_T_Max_range,Cell_T_Max_discharge_end,Cell_T_Max_charge_start,Cell_T_Min_min,Cell_T_Min_max,Cell_T_Min_mean,Cell_T_Min_std,Cell_T_Min_range,Cell_T_Min_discharge_end,Cell_T_Min_charge_start,Cell_T_Avg_min,Cell_T_Avg_max,Cell_T_Avg_mean,Cell_T_Avg_std,Cell_T_Avg_range,Cell_T_Avg_discharge_end,Cell_T_Avg_charge_start,SOC_min,SOC_max,SOC_mean,SOC_std,SOC_range,SOC_discharge_end,SOC_charge_start,voltage_spread_mean,voltage_spread_max,voltage_spread_std,voltage_asymmetry_mean,voltage_spread_under_load,voltage_asymmetry_under_load,thermal_spread_mean,thermal_spread_max,thermal_spread_std,thermal_spread_under_load,proxy_IR_mean,proxy_IR_median,proxy_IR_std,energy_efficiency,charge_time_to_50,charge_time_to_80,charge_time_to_95,charge_time_to_full,discharge_duration,soc_range,thermal_response_ratio,soh_label,cycle_duration,active_duration,rest_duration
1,-53.0,53.0,-0.13524370590552603,24.532995517213465,106.0,-35.05,-35.05,3.392,4.198,3.8139728539197075,0.23844643314568756,0.8060000000000005,3.415,3.416,3.384,4.194,3.808715395910182,0.2395744972573382,0.81,3.409,3.409,3.389,4.195,3.811025176377896,0.23883236743586816,0.8060000000000005,3.412,3.413,25.0,31.0,26.939655481144577,1.3784778740896075,6.0,27.0,27.0,25.0,31.0,26.62224689324213,1.3186756879374513,6.0,27.0,27.0,25.0,31.0,26.834401747663218,1.3676923804304624,6.0,27.0,27.0,10.0,100.1,59.608315725387676,28.73279546796823,90.1,10.0,10.0,0.005257458009526207,0.015000000000000124,0.002476810288443405,0.23598043917447295,0.005336263204580279,0.23573417251185377,0.317408587902446,1.0,0.46546791106178437,0.3287234900411257,0.0011908313468898468,0.0011867088607595037,9.96557093355937e-05,0.9927559873943026,2030,3206.0,4578.0,6119.0,19805,90.1,5.2237527084429794e-06,100.0,27923,24802,3121
2,-53.0,53.0,-0.05426938626622523,22.43931107925431,106.0,-17.02,-17.02,3.406,4.198,3.8531465483174756,0.23608217870608111,0.7920000000000003,3.443,3.443,3.399,4.194,3.848439340973341,0.23762340961730852,0.7949999999999999,3.438,3.437,3.403,4.195,3.850526765358543,0.23675298931984617,0.7920000000000003,3.441,3.44,25.0,32.0,26.765419339149467,1.425077543650663,7.0,27.0,27.0,25.0,31.0,26.51378545156093,1.349000054088865,6.0,27.0,27.0,25.0,31.0,26.69051889230021,1.395193796821784,6.0,27.0,27.0,10.0,100.1,64.21794388546067,28.32330839419528,90.1,10.0,10.0,0.004707207344134768,0.015000000000000124,0.002780670457317219,0.21066700074943184,0.0054864044621252515,0.24133468510649964,0.2516338875885339,1.0,0.4339519261457598,0.30349013657056145,0.0012591602355830752,0.0012522361359570472,9.12449955353099e-05,0.9831601488350308,2020,3186.0,4545.0,6067.0,24760,90.1,0.0006318320235109248,100.0,32897,24383,8514
3,-53.0,53.0,-0.042173939672332024,22.403359925825193,106.0,-46.57,-46.57,3.388,4.198,3.832812310519063,0.22179588243138718,0.8100000000000005,3.397,3.396,3.381,4.194,3.8276784565916397,0.2230026811460396,0.8130000000000002,3.389,3.389,3.385,4.195,3.8299753789618745,0.2222135597850426,0.8100000000000005,3.394,3.393,25.0,32.0,26.7913642627469,1.476333637149573,7.0,27.0,27.0,25.0,31.0,26.56781503598224,1.3694344061125536,6.0,27.0,27.0,25.0,31.0,26.71370387383249,1.4132649948571432,6.0,27.0,27.0,10.0,100.1,62.46277446026642,26.89086917817983,90.1,10.0,10.0,0.005133853927423055,0.015000000000000124,0.0024740943786431798,0.2266154254947864,0.005533510065446114,0.2413701885415438,0.22354922676466085,1.0,0.41662329504911644,0.27259547676248863,0.0013035229681493783,0.001297648012976481,8.898055864607128e-05,0.9807303604171996,2006,3163.0,4512.0,6021.0,24669,90.1,0.0003223460846272225,99.0,32655,24142,8513
4,-53.0,53.0,-0.03670496664195658,22.486770009903875,106.0,-20.7,-9.67,3.395,4.199,3.8050304546577713,0.21784881682478865,0.8039999999999998,3.436,3.452,3.387,4.194,3.7992074993822587,0.21890292325105234,0.8069999999999999,3.43,3.446,3.392,4.195,3.8018037126266373,0.21819343783807107,0.8030000000000004,3.433,3.448,25.0,32.0,26.85492340004942,1.4943222501233602,7.0,27.0,27.0,25.0,31.0,26.605046948356808,1.3852707397853725,6.0,27.0,27.0,25.0,32.0,26.776377563627378,1.452367144520123,7.0,27.0,27.0,10.0,100.1,59.92529342723004,26.175043555882553,90.1,10.0,10.0,0.005822955275512755,0.016000000000000014,0.002459350645587224,0.2530390190985097,0.005655456905938525,0.24459683903360196,0.2498764516926118,1.0,0.4329413477390692,0.2997319708518301,0.0013368018460768983,0.0013333333333334035,8.888969124682816e-05,0.9792617765356668,2014,3164.0,4503.0,6002.0,24431,90.1,0.0005190119771510983,99.0,32376,23878,8498
5,-53.0,53.0,-0.031628013707012924,22.270771648423448,106.0,-53.0,-53.0,3.382,4.199,3.789522396279525,0.22657529038734242,0.8169999999999997,3.383,3.383,3.373,4.194,3.783828050422225,0.2276780966160836,0.8209999999999997,3.375,3.375,3.379,4.195,3.7864007465426512,0.22688331139870765,0.8160000000000003,3.38,3.38,25.0,32.0,26.883092644719127,1.4907446788678713,7.0,27.0,27.0,25.0,31.0,26.641965487700404,1.3804308325127328,6.0,27.0,27.0,25.0,32.0,26.822573736384776,1.449598979582335,7.0,27.0,27.0,10.0,100.1,57.71213131807612,26.753521083061763,90.1,10.0,10.0,0.005694345857300267,0.016000000000000014,0.002433904863972506,0.24496130404780825,0.005717085447868962,0.2477383506108849,0.24112715701872475,1.0,0.4277672862279115,0.28510129141395385,0.0013694916771022753,0.001365853658536565,9.25019611744764e-05,0.9782888219671724,1990,3134.0,4466.0,5956.0,24620,90.1,-0.0001859514506962436,99.0,32684,24237,8447
6,-53.0,53.0,-0.029408350496162167,22.473913419715693,106.0,-23.04,-23.04,3.382,4.199,3.779044623353929,0.22969723635491254,0.8169999999999997,3.427,3.427,3.374,4.194,3.7738059040129817,0.23039582894006044,0.8199999999999998,3.42,3.421,3.379,4.195,3.7762458029083192,0.22974736122742703,0.8160000000000003,3.423,3.424,25.0,32.0,26.933096174249517,1.5148741221603546,7.0,27.0,27.0,25.0,31.0,26.732509517568495,1.3949860687311455,6.0,27.0,27.0,25.0,32.0,26.87262060787618,1.478190671151916,7.0,27.0,27.0,10.0,100.1,55.376671035386636,27.589368191362976,90.1,10.0,10.0,0.0052387193409474285,0.016000000000000014,0.0026275238966425654,0.2205255744737131,0.005775684640244941,0.24837953683630015,0.20058665668102102,1.0,0.40043932104945845,0.22912059874128254,0.0013965283807844083,0.0013888888888888592,9.186182787903618e-05,0.9772296667380402,1984,3122.0,4447.0,5928.0,24165,90.1,-0.0004541273920816056,99.0,32046,23516,8530
7,-53.0,53.0,-0.027233586535127148,22.514981641560073,106.0,-53.0,-33.06,3.38,4.199,3.7673131087086715,0.24000915222842079,0.819,3.38,3.41,3.372,4.194,3.7617175591767262,0.24086815760780855,0.8220000000000001,3.372,3.403,3.377,4.195,3.764053046301258,0.24038366058176566,0.8180000000000005,3.377,3.407,25.0,32.0,26.96643237620954,1.4956177302846398,7.0,26.0,26.0,25.0,31.0,26.814889526271,1.3708215443168876,6.0,26.0,26.0,25.0,32.0,26.91209380023324,1.4586669237152114,7.0,26.0,26.0,10.0,100.1,52.925385318498435,29.868802874409425,90.1,10.0,10.0,0.005595549531944461,0.016000000000000014,0.0024809552375996686,0.26191856898472804,0.005825299646460295,0.24918808317068827,0.15154284993853814,1.0,0.3585772086609017,0.17366560317323446,0.0014169397370965534,0.0014075067024128922,9.530956831565185e-05,0.9764197811475848,1975,3109.0,4428.0,5901.0,23907,90.1,-0.0003627325688162969,98.0,31727,23194,8533
8,-53.0,53.0,-0.030691098679452623,24.658967442805583,106.0,-33.49,-33.49,3.383,4.199,3.8146401035125774,0.2390475194132233,0.8159999999999998,3.413,3.413,3.375,4.194,3.8088621227689616,0.24023747871628884,0.819,3.407,3.406,3.38,4.195,3.8113979525821056,0.2394372798211283,0.8150000000000004,3.411,3.41,26.0,32.0,27.405107127906533,1.4474419766640285,6.0,27.0,27.0,26.0,32.0,27.23903033070746,1.341230142374514,6.0,27.0,27.0,26.0,32.0,27.345206834874606,1.4173266693238655,6.0,27.0,27.0,10.0,100.1,59.671427484111575,28.64622751945199,90.1,10.0,10.0,0.005777980743616116,0.016000000000000014,0.002691228690450077,0.2544284779883652,0.0058549736864808915,0.2506358700179461,0.16607679719907142,1.0,0.3721495594934514,0.17043395738072642,0.001437945545436892,0.0014292094685127302,9.173113858553776e-05,0.9759331651475974,1971,3100.0,4413.0,5878.0,18468,90.1,-0.00044002035556341167,98.0,26277,23182,3095
9,-53.0,53.0,-0.02465986287086454,22.423539535175603,106.0,-30.57,-30.57,3.381,4.199,3.8751831021517273,0.25551966639039214,0.8180000000000001,3.416,3.416,3.373,4.194,3.8697255521501464,0.25685966288019124,0.8209999999999997,3.409,3.409,3.378,4.195,3.8719969035356567,0.25589576054207364,0.8170000000000002,3.413,3.413,25.0,32.0,27.001295459572184,1.5897327975677935,7.0,27.0,27.0,25.0,32.0,26.864166324370437,1.4847008663045227,7.0,27.0,27.0,25.0,32.0,26.965938892224084,1.55247030676675,7.0,27.0,27.0,10.0,100.1,66.17196435906348,29.776144417809945,90.1,10.0,10.0,0.005457550001579771,0.016999999999999904,0.002599720345714963,0.2565410196431377,0.005875102534214047,0.25099737769729813,0.13712913520174413,1.0,0.34398362676233,0.16660190821568882,0.0014602849851117114,0.001454313771937876,8.995526457177633e-05,0.9754709185149247,1966,3090.0,4397.0,5855.0,23860,90.1,-0.0005953352516195732,98.0,31649,23163,8486
10,-53.0,53.0,-0.022786719367588158,22.389570928145275,106.0,-47.56,-46.57,3.378,4.199,3.8370258023715422,0.22381879987198317,0.8209999999999997,3.387,3.388,3.37,4.194,3.8316490118577073,0.22514406230570172,0.8239999999999998,3.379,3.38,3.375,4.195,3.8341054545454543,0.2243337377814733,0.8200000000000003,3.384,3.385,25.0,32.0,26.985739130434784,1.5895764056308757,7.0,27.0,27.0,25.0,32.0,26.835509881422926,1.4901661567770028,7.0,27.0,27.0,25.0,32.0,26.94308300395257,1.5559910930490228,7.0,27.0,27.0,10.0,100.1,62.81811541501976,27.08237271713543,90.1,10.0,10.0,0.005376790513833969,0.017000000000000348,0.002700924533481529,0.23021346975643855,0.005911812996889044,0.25158687678633873,0.15022924901185772,1.0,0.35729598619798536,0.17309021776702385,0.0014822833555183704,0.0014763417563085262,8.823043667148201e-05,0.9748957202769057,1959,3079.0,4381.0,5833.0,23855,90.1,-0.00018461512623220002,98.0,31625,23144,8481
11,-53.0,53.0,-0.022626649368731037,22.36286248420679,106.0,-51.01,-51.01,3.376,4.199,3.802552479195013,0.21884865815054783,0.823,3.38,3.38,3.367,4.194,3.7962548808657406,0.22003675249810836,0.827,3.372,3.372,3.373,4.195,3.7991171091352083,0.2191769027170816,0.8220000000000001,3.377,3.377,25.0,32.0,27.014429009904124,1.5815582405032633,7.0,27.0,27.0,25.0,32.0,26.86498117267348,1.4875031822819471,7.0,27.0,27.0,25.0,32.0,26.974148023921778,1.5485873980269003,7.0,27.0,27.0,10.0,100.1,59.68364712210865,26.16563087075169,90.1,10.0,10.0,0.006297598329272567,0.017000000000000348,0.0026428260557407263,0.2634430462009879,0.005979055779133674,0.25334504565533666,0.14944783723064267,1.0,0.3565293552818982,0.16629884460599767,0.0015044056464898921,0.001499250374812628,9.427393255070142e-05,0.9745400404835487,1956,3071.0,4369.0,5815.0,23847,90.1,-0.00034142281367232437,97.0,31603,23109,8494
12,-53.0,53.0,-0.02167020232403427,22.362643032249075,106.0,-53.0,-53.0,3.376,4.199,3.782746287559763,0.22677470857979787,0.823,3.377,3.376,3.366,4.194,3.777084570813412,0.22766422811550419,0.8279999999999998,3.369,3.368,3.372,4.195,3.779654466010196,0.2269330994181976,0.8230000000000004,3.374,3.373,25.0,32.0,27.044960896684927,1.5734570860226433,7.0,27.0,27.0,25.0,32.0,26.90004116138429,1.483483351958849,7.0,27.0,27.0,25.0,32.0,26.987303296077002,1.5476260517000042,7.0,27.0,27.0,10.0,100.1,56.503099768862995,26.865953842626347,90.1,10.0,10.0,0.005661716746350914,0.017000000000000348,0.0026570648697154605,0.2418716779709036,0.006039377249663907,0.2553516755874188,0.14491973530063643,1.0,0.3520198937858909,0.15815950388134783,0.0015205106257483716,0.0015137180700094623,9.576167110778784e-05,0.9741122789501139,1951,3063.0,4355.0,5796.0,23826,90.1,-3.305212149144082e-05,97.0,31583,23059,8524
13,-53.0,53.0,-0.019653696249441303,22.39132473039724,106.0,-27.82,8.4,3.376,4.199,3.7732461184588844,0.2357602272070362,0.823,3.417,3.478,3.368,4.194,3.767408025046323,0.23666443672422868,0.8260000000000001,3.411,3.471,3.373,4.195,3.7699594914062997,0.23602177243485395,0.8220000000000001,3.414,3.474,25.0,32.0,27.066098012906522,1.5709351678194114,7.0,27.0,27.0,25.0,32.0,26.905660980129067,1.4872406542760412,7.0,27.0,27.0,25.0,32.0,27.01520669605776,1.5431596867528432,7.0,27.0,27.0,10.0,100.1,53.91386492875854,28.873917786098023,90.1,10.0,10.0,0.00583809341256159,0.017000000000000348,0.002581255432074027,0.25803248269221407,0.006070749967164312,0.2558654654435466,0.1604370327774583,1.0,0.36701088715598484,0.18081520073551946,0.0015382162418055814,0.0015269151138716398,9.5554422874154e-05,0.9734853907875013,1957,3065.0,4353.0,5788.0,23490,90.1,4.5186022573501564e-05,97.0,31302,22841,8461
14,-53.0,53.0,-0.02576787884760628,22.70270143828775,106.0,-23.21,-23.21,3.373,4.199,3.8680505239643903,0.2614049280168914,0.8259999999999996,3.424,3.424,3.365,4.194,3.862301041358694,0.2626993761516106,0.8289999999999997,3.417,3.418,3.37,4.195,3.864739857429125,0.2617531422877027,0.8250000000000002,3.42,3.421,25.0,33.0,27.16040865937387,1.6071982198665362,8.0,27.0,27.0,25.0,32.0,27.047468874215696,1.4953077236110088,7.0,27.0,27.0,25.0,32.0,27.118195854275484,1.5588784043602386,7.0,27.0,27.0,10.0,100.2,65.16589139647186,30.45071316025241,90.2,10.0,10.0,0.005749482605696365,0.017000000000000348,0.0026587722389666076,0.2624444952400032,0.006084757555990435,0.25625972770686345,0.11293978515817484,1.0,0.31651917807077684,0.12663622526636226,0.0015496959268312264,0.0015427769985974927,9.204411171355306e-05,0.9741397679471141,1944,3049.0,4332.0,5762.0,18276,90.2,-6.262424392374462e-05,97.0,30441,22995,7446
15,-53.0,53.0,-0.01580120599105309,24.60550861993307,106.0,-47.01,-47.01,3.374,4.199,3.81398101536666,0.23968736191586387,0.8249999999999997,3.383,3.383,3.366,4.194,3.8079190429877454,0.24099969196670637,0.8279999999999998,3.376,3.375,3.371,4.196,3.810619568177397,0.2400939867156211,0.8249999999999997,3.38,3.38,25.0,33.0,27.453919470920056,1.5972606828270297,8.0,27.0,27.0,25.0,32.0,27.332308889321144,1.4556320667560472,7.0,27.0,27.0,25.0,32.0,27.40980354016728,1.5192870069373534,7.0,27.0,27.0,10.0,100.1,59.577327368216295,28.697524037344444,90.1,10.0,10.0,0.006061972378914639,0.017000000000000348,0.002844640110542214,0.2597822464164468,0.006104072198987453,0.2559665066855697,0.12161058159891072,1.0,0.3268355060914977,0.1292537970504072,0.001567344981513238,0.0015591778880226646,9.291500365031345e-05,0.9719820069587041,1938,3038.0,4318.0,5742.0,18043,90.1,2.275541064167881e-05,96.0,25705,22715,2990
16,-53.0,53.0,-0.018127603665962215,22.28615899657183,106.0,-41.27,-53.0,3.373,4.199,3.8376226687175543,0.22407155061221495,0.8259999999999996,3.395,3.374,3.365,4.194,3.8320495417547904,0.22545790398266724,0.8289999999999997,3.388,3.366,3.37,4.196,3.834604851631097,0.2245810117838484,0.8259999999999996,3.392,3.372,25.0,33.0,27.080369159776964,1.6685796316504824,8.0,27.0,27.0,25.0,32.0,26.933506376978787,1.5476476613670471,7.0,27.0,27.0,25.0,32.0,27.01691982311094,1.6036180725745959,7.0,27.0,27.0,10.0,100.1,62.879100173043646,27.064920721088672,90.1,10.0,10.0,0.005573126962763619,0.017000000000000348,0.002808065951270993,0.23508770161063805,0.0061162678587080395,0.2567281626631356,0.14686278279817983,1.0,0.35396907467595873,0.17100534665614867,0.001584606074503507,0.0015772870662460606,9.175427627652457e-05,0.9726085262834493,1933,3031.0,4307.0,5726.0,23468,90.1,6.953969850071475e-05,96.0,31206,22818,8388
17,-53.0,53.0,-0.01859286396941716,22.213180636648904,106.0,4.58,4.58,3.375,4.199,3.7977257406817464,0.2216207924764767,0.8239999999999998,3.471,3.472,3.367,4.194,3.7914697992991395,0.22274092388677097,0.827,3.464,3.466,3.372,4.196,3.79419375597324,0.22198691025989278,0.8239999999999998,3.467,3.469,25.0,33.0,27.108474036317297,1.6412922544804083,8.0,27.0,27.0,25.0,32.0,26.941000318572794,1.5288739783270253,7.0,27.0,27.0,25.0,32.0,27.03494743548901,1.5803091331950385,7.0,27.0,27.0,10.0,100.1,59.130340872889455,26.40353284652872,90.1,10.0,10.0,0.006255941382605973,0.017000000000000348,0.0025805393622643454,0.27369795689446463,0.006201227741738869,0.2591967030742763,0.16747371774450462,1.0,0.37339827478088145,0.18934215682006184,0.0016038419631863306,0.0015988372093023,9.414205813147542e-05,0.9724525309782388,1934,3028.0,4300.0,5714.0,23671,90.1,-0.00032086368623735964,96.0,31390,22969,8421
18,-53.0,53.0,-0.01738387956216134,22.273481256066518,106.0,-26.6,-16.29,3.378,4.199,3.7815095496420894,0.22865834702149,0.8209999999999997,3.42,3.438,3.37,4.194,3.775742625108336,0.22947559347515412,0.8239999999999998,3.413,3.431,3.375,4.196,3.778340898147851,0.22881987224562933,0.8209999999999997,3.417,3.435,25.0,33.0,27.131897409559272,1.6505737157481646,8.0,27.0,27.0,25.0,32.0,26.95888036465188,1.5364093146772584,7.0,27.0,27.0,25.0,32.0,27.064905466568227,1.5818924602732602,7.0,27.0,27.0,10.0,100.1,56.08010464481752,27.1381264058528,90.1,10.0,10.0,0.005766924533752799,0.017999999999999794,0.0027118346948947054,0.24653971428771873,0.006261923618444217,0.26118645503762755,0.17301704490739256,1.0,0.37826200850588454,0.1955737416402675,0.0016185614515660761,0.0016112789526686823,9.515463128377096e-05,0.9719825081151268,1926,3017.0,4285.0,5695.0,23526,90.1,-0.0005495126808953443,96.0,31153,22728,8425
19,-53.0,53.0,-0.0162855486489096,22.313401707970474,106.0,-12.11,-12.11,3.38,4.199,3.7694846532899606,0.24066622072081809,0.819,3.445,3.445,3.371,4.194,3.7634699990337857,0.2415660125848678,0.823,3.439,3.439,3.377,4.196,3.7660687300718223,0.24098718136652542,0.819,3.442,3.442,25.0,33.0,27.118651164288703,1.6463261153103679,8.0,27.0,27.0,25.0,32.0,26.9814164707398,1.5220398414198717,7.0,27.0,27.0,25.0,32.0,27.0588424747979,1.5763548699801564,7.0,27.0,27.0,10.0,100.1,53.16240136558343,29.717168109237406,90.1,10.0,10.0,0.00601465425617573,0.017999999999999794,0.0026511344809932967,0.2672444032631626,0.006296325772648895,0.2612129719985545,0.13723469354890658,1.0,0.34409494683218506,0.14719016668877394,0.0016278702563718354,0.0016166281755196448,9.806693697011664e-05,0.9714629917362125,1935,3023.0,4287.0,5693.0,23404,90.1,-7.091611149659971e-05,95.0,31049,22617,8432
20,-53.0,53.0,-0.0220677151078005,24.559742090760775,106.0,-33.49,-10.1,3.373,4.199,3.8166448307122307,0.24092426188187477,0.8259999999999996,3.406,3.447,3.364,4.194,3.8104622994757795,0.24218563154427777,0.8300000000000001,3.399,3.441,3.37,4.196,3.813227543258051,0.24130291996538897,0.8259999999999996,3.403,3.444,26.0,33.0,27.563123250955815,1.6246162487435174,7.0,27.0,27.0,26.0,32.0,27.41697213353829,1.4704243600539664,6.0,27.0,27.0,26.0,33.0,27.5118048165228,1.5669119995071001,7.0,27.0,27.0,10.0,100.1,59.852473296283165,28.747347636767685,90.1,10.0,10.0,0.006182531236451097,0.017000000000000348,0.0028717114222375105,0.2624617520102584,0.0062889385474860365,0.26165671906020205,0.14615111741752396,1.0,0.35325765143183113,0.1562458100558659,0.0016356332887453389,0.0016288146931722194,9.519767185841549e-05,0.9716322890989215,1919,3005.0,4265.0,5665.0,17810,90.1,-8.226340040496068e-06,95.0,25371,22375,2996
21,-53.0,53.0,-0.016170397529910892,22.206031949388397,106.0,-53.0,-53.0,3.367,4.199,3.875527145246365,0.25823914698128775,0.8319999999999999,3.367,3.367,3.358,4.194,3.869834266049144,0.2598334324395291,0.8359999999999999,3.359,3.358,3.364,4.196,3.8723255499807023,0.2587942827651784,0.8319999999999999,3.364,3.364,25.0,33.0,27.106876366911102,1.7310835503679136,8.0,27.0,27.0,25.0,32.0,27.005146018268366,1.5800926972332665,7.0,27.0,27.0,25.0,33.0,27.068795831725204,1.677008749741946,8.0,27.0,27.0,10.0,100.1,66.07274218448477,30.13379200056389,90.1,10.0,10.0,0.005692879197221062,0.018000000000000238,0.0028662243411773157,0.2510525960851033,0.006263540931545521,0.26063367825688843,0.10173034864273768,1.0,0.3022933753951031,0.1201923076923077,0.0016535283862308793,0.0016465422612513855,9.084459251985002e-05,0.9711497450425494,1913,2996.0,4252.0,5648.0,23385,90.1,-5.492556781451751e-05,95.0,31092,22672,8420
22,-53.0,53.0,-0.01585478119935108,22.22281573065584,106.0,-21.46,-21.46,3.385,4.199,3.8336948136142626,0.22308554861091595,0.8140000000000001,3.427,3.427,3.377,4.194,3.8278794165316046,0.22436992618007381,0.8170000000000002,3.42,3.42,3.383,4.196,3.830529756888169,0.22354976684293917,0.8129999999999997,3.423,3.423,25.0,33.0,27.155202593192868,1.720567638267642,8.0,27.0,27.0,25.0,32.0,26.985348460291736,1.5870359874353737,7.0,27.0,27.0,25.0,33.0,27.100777957860615,1.6744014274732677,8.0,27.0,27.0,10.0,100.1,62.49319935170179,26.964286022217863,90.1,10.0,10.0,0.005815397082658049,0.018000000000000238,0.002747526876066507,0.2449533880865196,0.006325903185620219,0.2615374451964643,0.16985413290113452,1.0,0.3755046024185832,0.2042178323545115,0.0016722800455088382,0.0016632016632016648,9.210527573530452e-05,0.970900804423391,1912,2992.0,4245.0,5637.0,23207,90.1,-8.369849825285327e-05,95.0,30850,22476,8374
23,-53.0,53.0,-0.01479980563654018,22.20236746184252,106.0,-25.35,-25.35,3.368,4.199,3.800204114026563,0.22316390501752992,0.831,3.417,3.418,3.359,4.194,3.7938396825396827,0.2243307333524094,0.835,3.41,3.411,3.365,4.196,3.79664713313897,0.22355756995010959,0.8309999999999995,3.414,3.414,25.0,33.0,27.17917071590541,1.7313961550209196,8.0,27.0,27.0,25.0,32.0,27.00110139293813,1.5958112743505577,7.0,27.0,27.0,25.0,33.0,27.133236151603498,1.6849627413860646,8.0,27.0,27.0,10.0,100.1,59.38936831875608,26.199436494879915,90.1,10.0,10.0,0.006364431486880504,0.018000000000000238,0.002651830361963128,0.27347300904636856,0.006398791675990155,0.2642495122169945,0.17806932296728215,1.0,0.38257109036786346,0.21714029984336541,0.0016828167172267309,0.0016797556719022678,9.491841701771317e-05,0.9704533707644867,1908,2985.0,4235.0,5622.0,23159,90.1,7.686614614772712e-05,94.0,30870,22345,8525
24,-53.0,53.0,-0.01653129790912315,22.274292921887554,106.0,-32.51,-32.51,3.368,4.199,3.7786973285057246,0.23146109604705878,0.831,3.404,3.404,3.36,4.194,3.7728019701862543,0.23227922116317956,0.8340000000000001,3.397,3.397,3.365,4.196,3.7754815865870763,0.23164186399361997,0.8309999999999995,3.401,3.401,25.0,33.0,27.179110806667317,1.718708351195831,8.0,27.0,27.0,25.0,32.0,27.04214371921584,1.5720047976671732,7.0,27.0,27.0,25.0,33.0,27.140000652379555,1.6691189565567213,8.0,27.0,27.0,10.0,100.1,55.19681964967218,27.713065158713608,90.1,10.0,10.0,0.005895358319470299,0.018000000000000238,0.0027992160415900645,0.2480737323237212,0.006393079646810992,0.26372481345700144,0.13696708745147926,1.0,0.3438126007093662,0.15427367666173636,0.0016964509034973247,0.0016864769538879325,9.606147940749326e-05,0.9704888611345225,1904,2978.0,4224.0,5609.0,23026,90.1,-0.0006875664437954332,94.0,30657,22311,8346
25,-53.0,53.0,-0.015731383414761935,22.350172720331166,106.0,-5.36,-5.36,3.373,4.199,3.757680657113814,0.2494501718425407,0.8259999999999996,3.459,3.459,3.365,4.194,3.7514017116437683,0.25041803365673304,0.8289999999999997,3.453,3.453,3.37,4.196,3.754277502705184,0.24970823506464718,0.8259999999999996,3.455,3.455,25.0,33.0,27.18087024953274,1.6354910446898292,8.0,26.0,26.0,25.0,32.0,27.049414696527528,1.504869973722434,7.0,26.0,26.0,25.0,33.0,27.13289831786733,1.5811374107311873,8.0,26.0,26.0,10.0,100.1,51.40583991868052,31.305585197440955,90.1,10.0,10.0,0.006278945470046217,0.018000000000000238,0.0026830836657441718,0.2598489705703877,0.006460437519815211,0.264389595035398,0.13145555300521364,1.0,0.33789789965210953,0.1516373024140586,0.0017028712338888752,0.0016928657799274234,9.726542842590257e-05,0.9699490345332563,1922,2993.0,4237.0,5619.0,22957,90.1,9.791331870346701e-05,94.0,30497,22079,8418
