n_filters,dropout,lr,test_mae
64,0.1,0.005,0.9230884752775493
32,0.1,0.005,1.0415115356445312
128,0.3,0.005,1.0453700015419407
64,0.2,0.005,1.0925570036235608
128,0.1,0.005,1.1703037462736432
32,0.1,0.001,1.2919126811780428
64,0.3,0.005,1.353599146792763
128,0.1,0.001,1.4032323736893504
64,0.2,0.001,1.4213064093338816
128,0.1,0.0005,1.6160266273900081
64,0.1,0.001,1.6372941669664884
64,0.1,0.0005,1.6757101761667352
128,0.3,0.001,1.6804737291837994
128,0.2,0.005,1.71942138671875
64,0.3,0.0005,1.744053890830592
128,0.3,0.0005,1.8479056107370477
128,0.2,0.0005,1.9146106117650081
128,0.2,0.001,2.0415428563168176
32,0.2,0.005,2.063183433131168
32,0.2,0.001,2.22638622083162
32,0.3,0.005,2.235672800164474
64,0.2,0.0005,2.4119081999126233
64,0.3,0.001,2.5215839586759867
32,0.3,0.001,2.624472367136102
32,0.3,0.0005,2.90673828125
32,0.2,0.0005,3.499934146278783
32,0.1,0.0005,5.131283810264186
