n_filters,dropout,lr,test_mae
128,0.1,0.005,1.0011191117136102
32,0.1,0.005,1.0068656519839638
32,0.1,0.001,1.0518357126336348
128,0.2,0.005,1.1210439581620066
64,0.3,0.005,1.1429250616776316
64,0.1,0.005,1.1503319991262335
64,0.2,0.005,1.1542691682514392
32,0.2,0.005,1.3729087428042763
64,0.3,0.001,1.3776144730417352
128,0.3,0.0005,1.4647578189247532
128,0.3,0.005,1.5069989656147205
64,0.2,0.0005,1.5512984426398027
128,0.3,0.001,1.6404985126696134
32,0.2,0.001,1.759656404194079
32,0.3,0.005,1.7639136063425165
128,0.2,0.001,1.7758572227076481
128,0.1,0.001,1.9676248650801809
32,0.3,0.001,2.0005131771689966
64,0.3,0.0005,2.1874433818616366
128,0.1,0.0005,2.219763906378495
64,0.2,0.001,2.2250093158922697
32,0.3,0.0005,2.338568034924959
64,0.1,0.0005,2.3893938566509045
128,0.2,0.0005,2.429031773617393
64,0.1,0.001,2.6436602943821956
32,0.1,0.0005,6.563717892295436
32,0.2,0.0005,12.870126021535773
