Model,MAE,RMSE,R2,CV_MAE
GRU_Top30_Tuned,0.2489,0.2991,0.997018,0.5980
GRU_Tuned,0.2951,0.3709,0.995413,0.8016
GRU_Top30_Baseline,0.3081,0.3803,0.995178,0.7952
LSTM_Top30_Tuned,0.4102,0.5772,0.988896,
Transformer_Tuned,0.4413,0.5978,0.988088,1.0247
GRU_Baseline,0.5191,0.6865,0.984291,3.7895
Transformer_Top30_Tuned,0.5308,0.8275,0.977173,0.8840
Transformer_Top30_Baseline,0.6095,0.9077,0.972534,0.6248
LSTM_Tuned,0.6376,0.7510,0.981199,3.3501
MLP_Tuned,0.7867,0.8512,0.975851,0.9733
LSTM_Top30_Baseline,0.8445,1.0313,0.964546,
MLP_Top30_Tuned,0.8494,0.9603,0.969259,1.4524
Transformer_Baseline,0.8800,1.0277,0.964797,0.8791
CNN_Tuned,0.9231,1.1455,0.956264,1.7185
CNN_Top30_Tuned,1.0011,1.2409,0.948672,3.8631
LSTM_Baseline,1.3698,1.5857,0.916189,1.4799
CNN_Top30_Baseline,1.6801,1.9883,0.868217,7.3097
CNN_Baseline,1.7805,2.1695,0.843114,3.6886
MLP_Baseline,13.5820,14.0544,-5.584205,47.4152
MLP_Top30_Baseline,19.8025,21.0427,-13.759778,42.9844
