hidden_dim,n_layers,lr,test_mae
128,3,0.001,0.2950503700657895
128,2,0.001,0.3291007594058388
128,3,0.0005,0.34065527664987666
128,2,0.0005,0.3614409597296464
64,3,0.0005,0.3661061337119655
64,2,0.0005,0.3966433876439145
64,3,0.001,0.5632605301706415
32,3,0.001,0.5643306531404194
64,2,0.005,0.6260833740234375
32,2,0.001,0.6868205823396382
128,3,0.005,0.7030960886101973
128,2,0.005,0.7246467188784951
64,2,0.001,0.7858762239155016
64,3,0.005,0.8172414679276315
64,1,0.005,0.8499687596371299
64,1,0.001,0.9023879201788652
32,3,0.005,0.9141408016807154
32,2,0.005,0.9249793604800576
32,2,0.0005,0.9583097759046053
32,3,0.0005,0.9892023990028783
64,1,0.0005,1.004749900416324
32,1,0.005,1.0142460873252468
128,1,0.005,1.068385074013158
32,1,0.0005,1.5365793328536184
32,1,0.001,1.8261445697985197
128,1,0.0005,3.1839527330900492
128,1,0.001,3.2220659757915295
