cycle,voltage_spread_under_load,charge_time_to_full,proxy_IR_mean,proxy_IR_median,charge_time_to_95,voltage_asymmetry_under_load,active_duration,charge_time_to_80,voltage_spread_max,Cell_T_Min_std,Cell_T_Avg_std,Cell_T_Max_std,charge_time_to_50,Cell_T_Avg_max,Cell_T_Min_max,energy_efficiency,Cell_V_Max_max,Cell_V_Avg_max,Cell_V_Max_range,Cell_V_Avg_range,Cell_V_Min_range,Cell_V_Min_min,Cell_V_Max_min,Cell_T_Max_max,Cell_V_Avg_min,Cell_T_Avg_range,Cell_T_Min_range,Cell_T_Max_range,voltage_spread_mean,voltage_spread_std,soh_label
1,0.005336263204580279,6119.0,0.0011908313468898468,0.0011867088607595037,4578.0,0.23573417251185377,24802,3206.0,0.015000000000000124,1.3186756879374513,1.3676923804304624,1.3784778740896075,2030,31.0,31.0,0.9927559873943026,4.198,4.195,0.8060000000000005,0.8060000000000005,0.81,3.384,3.392,31.0,3.389,6.0,6.0,6.0,0.005257458009526207,0.002476810288443405,100.0
2,0.0054864044621252515,6067.0,0.0012591602355830752,0.0012522361359570472,4545.0,0.24133468510649964,24383,3186.0,0.015000000000000124,1.349000054088865,1.395193796821784,1.425077543650663,2020,31.0,31.0,0.9831601488350308,4.198,4.195,0.7920000000000003,0.7920000000000003,0.7949999999999999,3.399,3.406,32.0,3.403,6.0,6.0,7.0,0.004707207344134768,0.002780670457317219,100.0
3,0.005533510065446114,6021.0,0.0013035229681493783,0.001297648012976481,4512.0,0.2413701885415438,24142,3163.0,0.015000000000000124,1.3694344061125536,1.4132649948571432,1.476333637149573,2006,31.0,31.0,0.9807303604171996,4.198,4.195,0.8100000000000005,0.8100000000000005,0.8130000000000002,3.381,3.388,32.0,3.385,6.0,6.0,7.0,0.005133853927423055,0.0024740943786431798,99.0
4,0.005655456905938525,6002.0,0.0013368018460768983,0.0013333333333334035,4503.0,0.24459683903360196,23878,3164.0,0.016000000000000014,1.3852707397853725,1.452367144520123,1.4943222501233602,2014,32.0,31.0,0.9792617765356668,4.199,4.195,0.8039999999999998,0.8030000000000004,0.8069999999999999,3.387,3.395,32.0,3.392,7.0,6.0,7.0,0.005822955275512755,0.002459350645587224,99.0
5,0.005717085447868962,5956.0,0.0013694916771022753,0.001365853658536565,4466.0,0.2477383506108849,24237,3134.0,0.016000000000000014,1.3804308325127328,1.449598979582335,1.4907446788678713,1990,32.0,31.0,0.9782888219671724,4.199,4.195,0.8169999999999997,0.8160000000000003,0.8209999999999997,3.373,3.382,32.0,3.379,7.0,6.0,7.0,0.005694345857300267,0.002433904863972506,99.0
6,0.005775684640244941,5928.0,0.0013965283807844083,0.0013888888888888592,4447.0,0.24837953683630015,23516,3122.0,0.016000000000000014,1.3949860687311455,1.478190671151916,1.5148741221603546,1984,32.0,31.0,0.9772296667380402,4.199,4.195,0.8169999999999997,0.8160000000000003,0.8199999999999998,3.374,3.382,32.0,3.379,7.0,6.0,7.0,0.0052387193409474285,0.0026275238966425654,99.0
7,0.005825299646460295,5901.0,0.0014169397370965534,0.0014075067024128922,4428.0,0.24918808317068827,23194,3109.0,0.016000000000000014,1.3708215443168876,1.4586669237152114,1.4956177302846398,1975,32.0,31.0,0.9764197811475848,4.199,4.195,0.819,0.8180000000000005,0.8220000000000001,3.372,3.38,32.0,3.377,7.0,6.0,7.0,0.005595549531944461,0.0024809552375996686,98.0
8,0.0058549736864808915,5878.0,0.001437945545436892,0.0014292094685127302,4413.0,0.2506358700179461,23182,3100.0,0.016000000000000014,1.341230142374514,1.4173266693238655,1.4474419766640285,1971,32.0,32.0,0.9759331651475974,4.199,4.195,0.8159999999999998,0.8150000000000004,0.819,3.375,3.383,32.0,3.38,6.0,6.0,6.0,0.005777980743616116,0.002691228690450077,98.0
9,0.005875102534214047,5855.0,0.0014602849851117114,0.001454313771937876,4397.0,0.25099737769729813,23163,3090.0,0.016999999999999904,1.4847008663045227,1.55247030676675,1.5897327975677935,1966,32.0,32.0,0.9754709185149247,4.199,4.195,0.8180000000000001,0.8170000000000002,0.8209999999999997,3.373,3.381,32.0,3.378,7.0,7.0,7.0,0.005457550001579771,0.002599720345714963,98.0
10,0.005911812996889044,5833.0,0.0014822833555183704,0.0014763417563085262,4381.0,0.25158687678633873,23144,3079.0,0.017000000000000348,1.4901661567770028,1.5559910930490228,1.5895764056308757,1959,32.0,32.0,0.9748957202769057,4.199,4.195,0.8209999999999997,0.8200000000000003,0.8239999999999998,3.37,3.378,32.0,3.375,7.0,7.0,7.0,0.005376790513833969,0.002700924533481529,98.0
