hidden_dim,n_layers,lr,test_mae
128,2,0.001,0.24889775326377467
64,3,0.001,0.30039656789679275
64,2,0.001,0.32018280029296875
128,3,0.0005,0.3289951525236431
128,2,0.005,0.3739628038908306
64,3,0.0005,0.3824410689504523
32,3,0.005,0.3921251798930921
64,2,0.0005,0.402740478515625
128,2,0.0005,0.41023615786903783
32,2,0.001,0.44278917814555924
128,1,0.0005,0.4903628700657895
32,1,0.001,0.4904327392578125
32,3,0.0005,0.5060577392578125
64,1,0.0005,0.5251830251593339
32,3,0.001,0.5289471274928043
128,3,0.001,0.5339287205746299
64,1,0.001,0.5531066091437089
32,2,0.0005,0.592769422029194
32,2,0.005,0.6538917139956826
64,2,0.005,0.7661369725277549
128,3,0.005,0.9758011667351973
32,1,0.0005,1.0745203118575246
64,1,0.005,1.2523667184930098
128,1,0.005,1.336743806537829
64,3,0.005,1.3429782265111019
128,1,0.001,1.9289358038651316
32,1,0.005,3.081467076351768
