hidden_dim,n_layers,lr,test_mae
128,1,0.001,0.6375852885999178
128,1,0.005,0.6568406757555509
128,1,0.0005,0.6607613814504523
32,1,0.005,0.794476960834704
32,2,0.005,0.803623400236431
64,1,0.0005,0.8270247609991777
128,2,0.005,0.8521748592979029
64,1,0.005,0.9328107331928454
64,2,0.005,0.9331568667763158
64,2,0.001,0.9436665585166529
128,3,0.005,0.991651033100329
64,3,0.001,1.0260997571443256
64,3,0.005,1.0944531089381169
64,2,0.0005,1.1632529810855263
64,1,0.001,1.2234798230622943
128,2,0.0005,1.240153664036801
32,2,0.0005,1.3906699732730263
128,2,0.001,1.4087705110248767
32,2,0.001,1.4840124029862254
128,3,0.0005,1.5466726202713816
32,1,0.001,1.8237593801398027
32,3,0.005,1.9646425749126233
32,1,0.0005,1.9896774291992188
64,3,0.0005,2.349226299085115
128,3,0.001,2.502490394993832
32,3,0.001,2.664654380396793
32,3,0.0005,3.1817630968595805
