hidden_dim,n_layers,lr,test_mae
64,1,0.0005,0.410188775313528
64,1,0.001,0.4968305888928865
128,2,0.005,0.5526982357627467
128,1,0.001,0.5900537591231497
128,1,0.0005,0.6211134258069491
32,1,0.0005,0.7491322567588404
64,1,0.005,0.7862195466694079
32,1,0.001,0.8509670056794819
64,2,0.001,0.9216766357421875
32,1,0.005,0.9768769113641036
128,1,0.005,0.9847697207802221
32,2,0.001,1.0055409481650905
64,2,0.0005,1.0400382594058388
128,2,0.001,1.1657546193976152
128,2,0.0005,1.1753110383686267
64,2,0.005,1.1762494538959705
32,2,0.0005,1.3499346281352795
128,3,0.005,1.3595998663651316
32,2,0.005,1.7992260581568669
64,3,0.001,1.8297536749588816
128,3,0.0005,1.865897730777138
64,3,0.005,1.8783717908357318
32,3,0.005,1.900429173519737
64,3,0.0005,2.46522361353824
32,3,0.0005,2.4876427901418587
128,3,0.001,2.988604896946957
32,3,0.001,3.4581314890008223
