hidden_dim,dropout,lr,test_mae
128,0.2,0.005,0.7866720902292352
64,0.2,0.005,1.2482886063425165
64,0.1,0.005,1.29437938489412
128,0.1,0.005,1.3081267507452714
256,0.3,0.005,1.372434515702097
128,0.3,0.005,1.467997902318051
256,0.2,0.005,1.498700593647204
256,0.1,0.005,1.7553795262386924
64,0.3,0.005,1.8478738885176809
256,0.2,0.001,3.544217962967722
256,0.1,0.001,3.7189965499074837
256,0.3,0.001,5.579593457673726
128,0.2,0.001,39.103744105288854
128,0.1,0.001,40.22223141318873
128,0.3,0.001,42.57333394100792
256,0.1,0.0005,58.39067077636719
256,0.3,0.0005,58.869129733035436
256,0.2,0.0005,61.7929442054347
64,0.3,0.001,62.950983474129124
64,0.2,0.001,64.10429457614296
64,0.1,0.001,64.18078372353001
128,0.1,0.0005,73.22452083386872
128,0.2,0.0005,74.64232796116879
128,0.3,0.0005,75.67567875510768
64,0.2,0.0005,80.66797863809686
64,0.1,0.0005,82.398739839855
64,0.3,0.0005,82.65504437998722
