hidden_dim,dropout,lr,test_mae
256,0.2,0.005,0.8493559987921464
64,0.3,0.005,1.2787949411492598
128,0.1,0.005,1.2820699591385691
128,0.2,0.005,1.3877764250102795
64,0.2,0.005,1.43182373046875
64,0.1,0.005,1.4625460976048519
128,0.3,0.005,1.57514110364412
256,0.1,0.005,1.9663186324270148
256,0.3,0.005,2.201106021278783
256,0.1,0.001,4.204077871222245
256,0.2,0.001,6.793733295641448
256,0.3,0.001,9.007882770739103
128,0.2,0.001,44.906889162565534
128,0.1,0.001,46.09494420101768
128,0.3,0.001,46.85475299232885
256,0.2,0.0005,56.2733739551745
256,0.3,0.0005,57.54651365782085
256,0.1,0.0005,59.43745121202971
64,0.1,0.001,66.07271365115517
64,0.3,0.001,67.6114827708194
64,0.2,0.001,68.04478981620387
128,0.2,0.0005,71.80732842495567
128,0.1,0.0005,73.47537627973054
128,0.3,0.0005,73.84647196217587
64,0.2,0.0005,80.73024477456745
64,0.3,0.0005,82.05114191456845
64,0.1,0.0005,82.47547297728688
