feature,soh_correlation,abs_correlation
voltage_spread_under_load,-0.9788349336466137,0.9788349336466137
charge_time_to_full,0.9772672169811523,0.9772672169811523
proxy_IR_mean,-0.9771882392471449,0.9771882392471449
proxy_IR_median,-0.9771393901925911,0.9771393901925911
charge_time_to_95,0.9743293363832737,0.9743293363832737
voltage_asymmetry_under_load,-0.9737720251923111,0.9737720251923111
active_duration,0.9706093422964501,0.9706093422964501
charge_time_to_80,0.9645255968990464,0.9645255968990464
voltage_spread_max,-0.9547665644991957,0.9547665644991957
Cell_T_Min_std,-0.9547592675485326,0.9547592675485326
Cell_T_Avg_std,-0.9547527661982278,0.9547527661982278
Cell_T_Max_std,-0.9419620740114598,0.9419620740114598
charge_time_to_50,0.9237055058255043,0.9237055058255043
Cell_T_Avg_max,-0.9203275063236788,0.9203275063236788
Cell_T_Min_max,-0.9118052365096306,0.9118052365096306
energy_efficiency,0.9111953442289091,0.9111953442289091
Cell_V_Max_max,-0.9086199432083325,0.9086199432083325
Cell_V_Avg_max,-0.9027735756853678,0.9027735756853678
Cell_V_Max_range,-0.9020891792388112,0.9020891792388112
Cell_V_Avg_range,-0.9003436328676709,0.9003436328676709
Cell_V_Min_range,-0.8992769240081335,0.8992769240081335
Cell_V_Min_min,0.8958024811101907,0.8958024811101907
Cell_V_Max_min,0.8939620293151607,0.8939620293151607
Cell_T_Max_max,-0.8936191260645802,0.8936191260645802
Cell_V_Avg_min,0.8916126220031354,0.8916126220031354
Cell_T_Avg_range,-0.8810807374055101,0.8810807374055101
Cell_T_Min_range,-0.8651851372019841,0.8651851372019841
Cell_T_Max_range,-0.8495261503573933,0.8495261503573933
voltage_spread_mean,-0.8438923456734797,0.8438923456734797
voltage_spread_std,-0.8419925626877273,0.8419925626877273
Cell_V_Min_max,-0.8383314969554219,0.8383314969554219
Cell_T_Max_mean,-0.827508176078175,0.827508176078175
Cell_T_Avg_mean,-0.8154376084321868,0.8154376084321868
Cell_T_Min_mean,-0.7862581270330262,0.7862581270330262
thermal_spread_under_load,-0.7325785603135356,0.7325785603135356
thermal_spread_mean,-0.7127191766531682,0.7127191766531682
Cell_T_Max_charge_start,-0.7124590468536648,0.7124590468536648
Cell_T_Max_discharge_end,-0.7033817380951894,0.7033817380951894
thermal_spread_std,-0.6975849593752343,0.6975849593752343
voltage_asymmetry_mean,-0.6943959190067327,0.6943959190067327
proxy_IR_std,-0.5732065737177685,0.5732065737177685
Cell_T_Avg_discharge_end,-0.5693415248355803,0.5693415248355803
Cell_T_Avg_charge_start,-0.5693415248355803,0.5693415248355803
cycle_duration,0.5460375342362788,0.5460375342362788
Current_mean,-0.5334790328024556,0.5334790328024556
discharge_duration,0.5221154752956788,0.5221154752956788
thermal_response_ratio,-0.5218983566674406,0.5218983566674406
Cell_T_Min_charge_start,-0.4969343813959885,0.4969343813959885
Cell_T_Min_discharge_end,-0.4969343813959885,0.4969343813959885
SOC_range,-0.25826627787145057,0.25826627787145057
soc_range,-0.25826627787145057,0.25826627787145057
SOC_max,-0.25448136785929065,0.25448136785929065
Cell_V_Min_std,-0.23237138875645028,0.23237138875645028
Cell_V_Avg_std,-0.229857830957748,0.229857830957748
Cell_V_Max_std,-0.22903069381485874,0.22903069381485874
Current_discharge_end,-0.17152076786841353,0.17152076786841353
rest_duration,0.13284373048202955,0.13284373048202955
Cell_V_Max_mean,-0.12262977640977075,0.12262977640977075
SOC_std,-0.11863024541064428,0.11863024541064428
Cell_V_Avg_mean,-0.11587554034285191,0.11587554034285191
Cell_V_Min_mean,-0.10877929328733782,0.10877929328733782
SOC_mean,-0.09631037417264417,0.09631037417264417
Current_charge_start,-0.0952990681852869,0.0952990681852869
Cell_V_Min_charge_start,0.0728673333603753,0.0728673333603753
Cell_V_Avg_charge_start,0.06556758599270068,0.06556758599270068
Cell_V_Max_charge_start,0.05907079654957102,0.05907079654957102
SOC_min,0.04155217281203614,0.04155217281203614
SOC_discharge_end,0.04155217281203614,0.04155217281203614
Cell_V_Min_discharge_end,0.022254795332091827,0.022254795332091827
Cell_T_Max_min,0.020543944076277333,0.020543944076277333
Cell_T_Avg_min,0.020543944076277333,0.020543944076277333
Cell_T_Min_min,0.020543944076277333,0.020543944076277333
Cell_V_Avg_discharge_end,0.013305306066243361,0.013305306066243361
Current_std,0.011596830786500586,0.011596830786500586
SOC_charge_start,-0.009669172381337245,0.009669172381337245
Cell_V_Max_discharge_end,0.008179417242851829,0.008179417242851829
