d_model,n_layers,lr,test_mae
32,3,0.001,0.441295021458676
64,3,0.001,0.5076358192845395
64,2,0.0005,0.6590885363127056
32,2,0.001,0.7001230340254935
32,1,0.001,0.7038855301706415
32,1,0.0005,0.7367095947265625
64,1,0.0005,0.7701857717413652
64,2,0.001,0.8185645655581826
64,3,0.0005,0.8460018760279605
32,2,0.005,1.0168192010176809
32,1,0.005,1.0872842889083059
32,2,0.0005,1.1605405305561267
128,1,0.005,1.179105658280222
64,2,0.005,1.1851316753186678
64,1,0.001,1.2582497847707648
128,2,0.0005,1.3180019980982731
32,3,0.005,1.4244196038497121
128,3,0.001,1.4603548551860608
128,3,0.0005,1.4608443410773027
128,2,0.001,1.5912074038856907
64,1,0.005,1.8665795577199835
128,1,0.0005,1.975675482498972
64,3,0.005,2.2338477686831824
128,2,0.005,2.245709067896793
128,1,0.001,2.968746386076275
128,3,0.005,4.760033456902755
32,3,0.0005,4.985455161646793
