d_model,n_layers,lr,test_mae
32,1,0.005,0.5308030780993009
32,2,0.001,0.5485462389494243
32,1,0.001,0.5492437262284128
32,3,0.001,0.5674386275442023
128,1,0.005,0.5784932186729029
64,2,0.0005,0.6293965389854029
64,1,0.001,0.635986328125
32,2,0.0005,0.6505110891241777
128,1,0.001,0.6718031230725741
64,2,0.001,0.6896093268143503
64,3,0.0005,0.6940733257092928
128,3,0.0005,0.702558015522204
32,2,0.005,0.7061619005705181
32,3,0.0005,0.8405199552837171
32,3,0.005,0.8580623425935444
128,3,0.001,0.9300517032020971
128,2,0.001,0.9512907329358553
64,3,0.001,1.0578970658151727
128,1,0.0005,1.1196204737613076
128,2,0.0005,1.1776255557411595
64,1,0.0005,1.2029218171772205
64,1,0.005,1.8926985891241777
64,2,0.005,2.2590328015779195
64,3,0.005,2.346437554610403
128,2,0.005,2.825963070518092
32,1,0.0005,3.1346154463918587
128,3,0.005,4.763873853181538
