Rank,Category,Model,MAE,RMSE,R2
1,ML,ExtraTrees_Top30_Baseline,0.0637,0.0789,0.999793
2,ML,ExtraTrees_Top30_Tuned,0.0639,0.0752,0.999811
3,ML,XGBoost_Top30_Baseline,0.0828,0.1057,0.999628
4,ML,XGBoost_Top30_Tuned,0.0850,0.1101,0.999596
5,ML,Random_Forest_Top30_Tuned,0.1063,0.1305,0.999432
6,DL,GRU_Top30_Tuned,0.2489,0.2991,0.997018
7,DL,GRU_Tuned,0.2951,0.3709,0.995413
8,DL,GRU_Top30_Baseline,0.3081,0.3803,0.995178
9,DL,LSTM_Top30_Tuned,0.4102,0.5772,0.988896
10,DL,Transformer_Tuned,0.4413,0.5978,0.988088
