Model,Type,L1_ZeroShot_SOH,L1_AbsErr,L2_FineTuned_SOH,L2_AbsErr,L3_DomainAdapt_SOH,L3_AbsErr,L1_to_L3_Improv,L2_to_L3_Improv
DL_GRU_Top30_BL,DL,80.43343,0.4334300000000013,80.43343353271484,0.43343353271484375,80.43343353271484,0.43343353271484375,-3.53271484243578e-06,0.0
ML_XGBoost_Top30_BL,ML,80.8537,0.8537000000000035,80.85369873046875,0.85369873046875,80.85369873046875,0.85369873046875,1.2695312534560799e-06,0.0
ML_XGBoost_Top30_TN,ML,81.22381,1.2238100000000003,81.22380828857422,1.2238082885742188,81.22380828857422,1.2238082885742188,1.7114257815364908e-06,0.0
DL_GRU_Tuned,DL,89.815445,9.815444999999997,85.886474609375,5.886474609375,81.86077117919922,1.8607711791992188,7.954673820800778,4.025703430175781
ML_ExtraTrees_Top30_BL,ML,86.12333333333333,6.123333333333335,83.67368515715576,3.6736851571557594,82.09970424121394,2.099704241213942,4.023629092119393,1.5739809159418172
ML_ExtraTrees_Top30_TN,ML,86.004,6.004000000000005,83.58991085516439,3.5899108551643906,82.10078531732465,2.1007853173246502,3.9032146826753547,1.4891255378397403
ML_RF_Top30_TN,ML,86.74,6.739999999999995,83.57353277576149,3.5735327757614925,82.13269834249895,2.132698342498955,4.60730165750104,1.4408344332625376
DL_GRU_Top30_TN,DL,64.02398,15.976020000000005,83.25655364990234,3.2565536499023438,82.95037078857422,2.9503707885742188,13.025649211425787,0.306182861328125
META_LEARNER,META,,,,,84.15806188027629,4.158061880276293,,
DL_LSTM_Top30_TN,DL,12.71574,67.28426,65.24333953857422,14.756660461425781,67.29798889160156,12.702011108398438,54.582248891601566,2.0546493530273438
